,TEFF,J-H
742,12819.59,-0.2538266811370864
743,9633.847,-0.2329852533340464
744,10702.462,-0.19544198799133206
745,12559.584,-0.26187206935882656
746,9577.447,-0.07942394208908077
747,15366.653,-0.2000249185562133
748,11145.442,-0.49853695678710785
749,12595.232,-0.412901098251341
750,12881.375,-1.0111377487182613
751,13074.159,-0.3729562873840351
752,13668.313,-0.7636802835464458
753,18702.28,-0.33241729354858407
754,12559.714,0.1801763525009168
755,10434.449,-0.060255595207214796
756,12964.061000000003,-0.31797555351257145
757,18080.412,-0.27777404212951495
758,17717.602,-0.3139111099243177
759,12822.395,-0.4404862642288201
760,10150.985,-0.5597371912002549
761,10137.834,-0.40970967769622746
762,12967.836,-0.49026889228820636
763,9635.267,-0.03003805065155163
764,14877.657,-0.2792321581840511
765,19172.732,-0.018523655891418578
766,12680.283,-0.3858373265266426
767,12638.567,-0.1567662029266348
768,16039.875,-0.5833886604309075
769,11150.478,-1.0466298694610572
770,9562.662,-0.20125924539566142
771,18549.975,-0.25240448570251317
772,13777.778,-0.3919351024627673
773,14752.729,-0.3434134426116948
774,10892.873,-0.25347397041320896
775,10132.355,-0.44739071750640846
776,19037.95,-0.04293807125091487
777,12651.787,-0.4590009441375713
778,15059.895,-0.24421086311340368
779,9643.278,-0.2723690733909603
780,13553.909,-0.13062228488922223
781,15355.068,-0.24744718265533372
782,14272.03,-0.30888978004455403
783,12250.115,-0.3062962317466731
784,12691.575,-0.31856732940673993
785,15128.723,-0.25253808450698756
786,12771.433,-0.4404946556091307
787,17685.004,-0.18934000301361031
788,9682.083,-0.5611184911727936
789,12280.243,-0.2504463376998931
790,9899.336,-0.5912365322113047
791,12440.382,-0.5080763683319081
792,10121.056,-0.3985239238738991
793,10532.338,-0.73248596191406
794,11510.827,-0.3311240720748909
795,11637.8955,-0.3150400676727294
796,11953.202,-0.4958883848190325
797,9533.965,-0.45300064468383994
798,15376.16,0.559159443855286
799,19306.932,0.6586079940050826
800,13524.346,0.04576362371444631
801,13736.496,0.4844244979023937
802,10057.875,-0.0010118830204000062
803,10500.012,-0.05908613932132667
804,9614.629,-0.08587201178073833
805,12050.883999999998,0.05887879538535934
806,11799.221,-0.0703013563156123
807,16174.728,-0.08120692396163598
808,12576.8,-0.011659873485564631
809,14274.385,0.2122691340446483
810,9829.902,-0.10837074947357372
811,10452.845,-0.18098172998428375
812,10469.772,-0.0978828070163722
813,9832.136,-0.16145543622970493
814,14244.683,-0.025780470609664263
815,12870.846,-0.09428552961349368
816,10937.951,-0.11396022367477521
817,15207.658,-0.08262619400024107
818,14142.671,-0.2433532364368407
819,14709.481000000002,-0.09659270739555303
